ONIMI,OKOOD,MNIMI,MKOOD,AREA,MEHED,NAISED,KOKKU,DENSITY
Abja vald,0105,Viljandi maakond,0084,289292488.176393,1073,1100,2173,7.51
Aegviidu vald,0112,Harju maakond,0037,11910383.861309974,349,367,716,60.12
Ahja vald,0117,Põlva maakond,0065,71921449.63424918,557,466,1023,14.22
Alajõe vald,0122,Ida-Viru maakond,0044,108419038.8513505,347,235,582,5.37
Alatskivi vald,0126,Tartu maakond,0078,127974681.52889872,659,658,1317,10.29
Albu vald,0129,Järva maakond,0051,256261956.85393077,601,545,1146,4.47
Ambla vald,0134,Järva maakond,0051,166076198.2850163,1011,985,1996,12.02
Anija vald,0140,Harju maakond,0037,519358227.80836207,2773,2851,5624,10.83
Antsla vald,0143,Võru maakond,0086,270046396.20931715,1684,1692,3376,12.5
Are vald,0149,Pärnu maakond,0067,159386207.29894292,657,626,1283,8.05
Aseri vald,0154,Ida-Viru maakond,0044,66910593.88409808,781,826,1607,24.02
Audru vald,0160,Pärnu maakond,0067,387547008.86660284,2909,2903,5812,15
Avinurme vald,0164,Ida-Viru maakond,0044,193030541.44164133,621,650,1271,6.58
Elva linn,0170,Tartu maakond,0078,9878344.740536217,2677,3064,5741,581.17
Emmaste vald,0175,Hiiu maakond,0039,198528997.007505,677,564,1241,6.25
Haanja vald,0181,Võru maakond,0086,170377241.66095614,577,522,1099,6.45
Haapsalu linn,0183,Lääne maakond,0057,11056078.472904343,4579,5657,10236,925.83
Haaslava vald,0185,Tartu maakond,0078,109544991.39744715,1135,1051,2186,19.96
Halinga vald,0188,Pärnu maakond,0067,362535405.9218649,1406,1460,2866,7.91
Haljala vald,0190,Lääne-Viru maakond,0059,181372176.3781373,1249,1210,2459,13.56
Halliste vald,0192,Viljandi maakond,0084,265794607.2840719,769,718,1487,5.59
Hanila vald,0195,Lääne maakond,0057,233251582.63665634,736,705,1441,6.18
Harku vald,0198,Harju maakond,0037,158502710.1461944,6968,6998,13966,88.11
Helme vald,0203,Valga maakond,0082,311928088.2679061,989,987,1976,6.33
Hiiu vald,0204,Hiiu maakond,0039,386113111.66831857,2252,2371,4623,11.97
Hummuli vald,0208,Valga maakond,0082,162253287.06622598,419,401,820,5.05
Häädemeeste vald,0213,Pärnu maakond,0067,389307147.15923494,1292,1256,2548,6.54
Iisaku vald,0224,Ida-Viru maakond,0044,256627602.7616828,626,577,1203,4.69
Illuka vald,0229,Ida-Viru maakond,0044,536465863.74314594,479,593,1072,2
Imavere vald,0234,Järva maakond,0051,139193712.65384617,442,443,885,6.36
